symbol,ma_type,ma_period,mode,rr,trades,win_rate,profit_factor,total_return,max_drawdown,positive_month_rate,avg_monthly_pnl,median_monthly_pnl,monthly_pnl_std,withdrawn_total,final_equity,total_wealth,consistency_score
USDJPY,sma,100,pullback,2.0,68,0.1471,0.333,-0.2517,0.2832,0.0603,-8.68,0.0,26.14,79.99,2913.3,2993.29,0.032604
USDJPY,sma,100,pullback,2.5,66,0.1364,0.3834,-0.2301,0.2646,0.069,-7.93,0.0,26.69,85.38,2994.27,3079.65,0.038028
USDJPY,wma,21,flip,1.5,374,0.4037,0.9175,-0.1279,0.2232,0.5083,-4.26,4.31,53.49,246.94,3241.4,3488.34,0.236635
USDJPY,wma,21,flip,2.0,374,0.361,1.0426,0.0743,0.1518,0.5,2.48,0.35,66.05,594.08,3703.12,4297.21,0.232311
USDJPY,wma,21,flip,2.5,374,0.3396,1.1799,0.3261,0.1807,0.5917,10.87,12.85,74.11,1427.72,3876.83,5304.55,0.251647
USDJPY,wma,21,slope_flip,1.5,107,0.4393,1.1118,0.0485,0.0945,0.3167,1.62,0.0,33.9,435.8,3758.28,4194.09,0.201407
USDJPY,wma,21,slope_flip,2.0,107,0.3832,1.1935,0.0917,0.0913,0.2583,3.06,0.0,41.7,577.26,3789.41,4366.67,0.1543
USDJPY,wma,21,slope_flip,2.5,107,0.3364,1.2003,0.1008,0.1118,0.2417,3.36,0.0,46.21,568.21,3835.16,4403.37,0.136058
USDJPY,wma,21,pullback,1.5,394,0.2107,0.375,-0.7455,0.7455,0.1917,-24.85,-21.61,34.98,0.0,1017.96,1017.96,0.033939
USDJPY,wma,21,pullback,2.0,383,0.1958,0.4562,-0.696,0.696,0.2167,-23.2,-23.25,40.17,0.0,1215.92,1215.92,0.043846
USDJPY,wma,21,pullback,2.5,378,0.1772,0.5037,-0.6661,0.6661,0.2333,-22.2,-22.33,45.56,0.0,1335.41,1335.41,0.049633
USDJPY,wma,34,flip,1.5,282,0.4007,0.9,-0.1175,0.1625,0.4622,-3.95,0.0,46.53,42.48,3487.32,3529.8,0.244754
USDJPY,wma,34,flip,2.0,282,0.3404,0.9428,-0.0741,0.1891,0.4202,-2.49,0.0,53.19,83.99,3619.7,3703.69,0.204649
USDJPY,wma,34,flip,2.5,282,0.3156,1.0457,0.0624,0.2084,0.437,2.1,0.0,65.48,329.42,3920.36,4249.79,0.190212
USDJPY,wma,34,slope_flip,1.5,74,0.3919,0.8675,-0.0433,0.0986,0.1765,-1.45,0.0,23.61,0.0,3826.95,3826.95,0.122821
USDJPY,wma,34,slope_flip,2.0,74,0.3649,1.0687,0.0234,0.0826,0.1681,0.79,0.0,26.97,102.63,3991.11,4093.75,0.115316
USDJPY,wma,34,slope_flip,2.5,74,0.3243,1.0686,0.0247,0.1136,0.1681,0.83,0.0,32.34,116.56,3982.27,4098.83,0.10609
USDJPY,wma,34,pullback,1.5,292,0.1849,0.2905,-0.6907,0.6949,0.1261,-23.22,-18.64,30.45,0.0,1237.26,1237.26,0.027854
USDJPY,wma,34,pullback,2.0,289,0.1696,0.3559,-0.6572,0.6628,0.1597,-22.09,-14.55,32.58,0.0,1371.11,1371.11,0.038262
USDJPY,wma,34,pullback,2.5,287,0.1429,0.3635,-0.6615,0.6648,0.2017,-22.24,-15.78,37.43,0.0,1353.96,1353.96,0.04606
USDJPY,wma,50,flip,1.5,247,0.3765,0.8112,-0.1916,0.2771,0.3866,-6.44,0.0,42.53,159.85,3073.76,3233.61,0.182448
USDJPY,wma,50,flip,2.0,247,0.3441,0.9561,-0.0495,0.2152,0.3866,-1.66,0.0,50.54,310.09,3491.8,3801.89,0.185912
USDJPY,wma,50,flip,2.5,247,0.3158,1.0569,0.0681,0.2109,0.4034,2.29,0.0,62.5,489.75,3782.54,4272.29,0.178681
USDJPY,wma,50,slope_flip,1.5,61,0.4098,0.9762,-0.0062,0.0687,0.1765,-0.21,0.0,25.08,103.98,3871.38,3975.36,0.125118
USDJPY,wma,50,slope_flip,2.0,61,0.3443,0.9956,-0.0012,0.0962,0.1429,-0.04,0.0,29.4,167.1,3827.94,3995.04,0.094412
USDJPY,wma,50,slope_flip,2.5,61,0.3279,1.1683,0.0496,0.1013,0.1429,1.67,0.0,34.95,246.03,3952.23,4198.26,0.089347
USDJPY,wma,50,pullback,1.5,214,0.1776,0.292,-0.5919,0.5919,0.1345,-19.9,-15.35,31.12,0.0,1632.46,1632.46,0.039505
USDJPY,wma,50,pullback,2.0,210,0.1429,0.3049,-0.5901,0.5901,0.1261,-19.84,-16.15,31.69,0.0,1639.51,1639.51,0.037004
USDJPY,wma,50,pullback,2.5,207,0.1304,0.3533,-0.5693,0.5693,0.1513,-19.13,-14.7,36.06,0.0,1722.99,1722.99,0.04491
USDJPY,wma,55,flip,1.5,245,0.3429,0.6907,-0.3034,0.3673,0.3277,-10.2,0.0,41.44,104.24,2682.1,2786.34,0.136585
USDJPY,wma,55,flip,2.0,245,0.3143,0.8134,-0.2018,0.3277,0.3193,-6.78,0.0,47.38,209.21,2983.39,3192.61,0.134834
USDJPY,wma,55,flip,2.5,245,0.2898,0.9181,-0.0957,0.3108,0.3445,-3.22,0.0,58.48,375.22,3242.07,3617.29,0.13718
USDJPY,wma,55,slope_flip,1.5,69,0.3623,0.7756,-0.0705,0.1193,0.1765,-2.37,0.0,24.46,57.61,3660.34,3717.95,0.11902
USDJPY,wma,55,slope_flip,2.0,69,0.3188,0.8327,-0.0551,0.11,0.1513,-1.85,0.0,26.66,54.24,3725.41,3779.64,0.100975
USDJPY,wma,55,slope_flip,2.5,69,0.2899,0.8962,-0.036,0.1349,0.1597,-1.21,0.0,32.34,84.88,3771.11,3855.99,0.098363
USDJPY,wma,55,pullback,1.5,219,0.1963,0.3617,-0.5667,0.5789,0.1681,-19.05,-14.59,33.67,28.47,1704.87,1733.33,0.049802
USDJPY,wma,55,pullback,2.0,216,0.1667,0.4015,-0.5511,0.5716,0.1681,-18.53,-14.59,34.75,49.02,1746.39,1795.42,0.050193
USDJPY,wma,55,pullback,2.5,213,0.1549,0.462,-0.5166,0.5459,0.1849,-17.36,-16.25,41.12,69.58,1864.08,1933.66,0.055454
USDJPY,wma,89,flip,1.5,184,0.3587,0.7333,-0.2038,0.2696,0.2393,-6.97,0.0,33.51,31.92,3152.78,3184.69,0.12319
USDJPY,wma,89,flip,2.0,184,0.3152,0.8135,-0.1555,0.2369,0.2479,-5.31,0.0,41.3,39.77,3338.38,3378.15,0.124753
USDJPY,wma,89,flip,2.5,184,0.2989,0.9563,-0.0398,0.1438,0.3248,-1.36,0.0,48.34,40.51,3800.14,3840.65,0.173346
USDJPY,wma,89,slope_flip,1.5,58,0.4138,0.9685,-0.0076,0.1068,0.1624,-0.26,0.0,23.26,80.52,3889.0,3969.52,0.112387
USDJPY,wma,89,slope_flip,2.0,58,0.3621,1.0537,0.0141,0.1161,0.1538,0.48,0.0,28.52,56.28,4000.0,4056.28,0.100252
USDJPY,wma,89,slope_flip,2.5,58,0.3448,1.2216,0.0606,0.1097,0.1624,2.07,0.0,32.12,192.5,4049.72,4242.22,0.10316
USDJPY,wma,89,pullback,1.5,147,0.1837,0.2999,-0.4537,0.4644,0.094,-15.51,0.0,31.51,20.7,2164.39,2185.1,0.036122
USDJPY,wma,89,pullback,2.0,146,0.1575,0.3444,-0.438,0.4527,0.094,-14.97,0.0,34.13,28.01,2220.02,2248.03,0.036071
USDJPY,wma,89,pullback,2.5,145,0.1379,0.3489,-0.4359,0.4583,0.1197,-14.9,0.0,36.87,46.01,2210.57,2256.58,0.044368
USDJPY,wma,100,flip,1.5,150,0.4333,1.0311,0.0196,0.1041,0.2845,0.68,0.0,32.63,182.46,3896.0,4078.46,0.181019
USDJPY,wma,100,flip,2.0,150,0.4,1.212,0.1432,0.0914,0.2759,4.94,0.0,38.18,501.19,4071.63,4572.82,0.169673
USDJPY,wma,100,flip,2.5,150,0.3667,1.344,0.2437,0.0841,0.3448,8.4,0.0,49.04,840.59,4134.04,4974.63,0.195796
USDJPY,wma,100,slope_flip,1.5,45,0.4667,1.1938,0.0342,0.0545,0.1638,1.18,0.0,18.63,94.91,4041.74,4136.65,0.125623
USDJPY,wma,100,slope_flip,2.0,45,0.4667,1.6106,0.109,0.0517,0.1638,3.76,0.0,23.51,302.1,4133.93,4436.03,0.120053
USDJPY,wma,100,slope_flip,2.5,45,0.4,1.5933,0.115,0.055,0.1466,3.97,0.0,27.44,320.73,4139.24,4459.97,0.103118
USDJPY,wma,100,pullback,1.5,140,0.1929,0.3361,-0.4305,0.4321,0.1034,-14.85,0.0,33.77,0.0,2277.84,2277.84,0.041311
USDJPY,wma,100,pullback,2.0,139,0.1871,0.4339,-0.3794,0.3838,0.1121,-13.08,0.0,36.6,0.0,2482.4,2482.4,0.047382
USDJPY,wma,100,pullback,2.5,137,0.1679,0.4762,-0.3557,0.3623,0.1552,-12.27,0.0,38.71,0.0,2577.03,2577.03,0.066686
USDJPY,jma,21,flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,21,flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,21,flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,21,slope_flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,21,slope_flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,21,slope_flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,21,pullback,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,21,pullback,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,21,pullback,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,34,flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,34,flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,34,flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,34,slope_flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,34,slope_flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,34,slope_flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,34,pullback,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,34,pullback,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,34,pullback,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,50,flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,50,flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,50,flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,50,slope_flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,50,slope_flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,50,slope_flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,50,pullback,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,50,pullback,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,50,pullback,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,55,flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,55,flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,55,flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,55,slope_flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,55,slope_flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,55,slope_flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,55,pullback,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,55,pullback,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,55,pullback,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,89,flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,89,flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,89,flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,89,slope_flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,89,slope_flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,89,slope_flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,89,pullback,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,89,pullback,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,89,pullback,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,100,flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,100,flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,100,flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,100,slope_flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,100,slope_flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,100,slope_flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,100,pullback,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,100,pullback,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
USDJPY,jma,100,pullback,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
